Sequence Name;Group
BK5SB1_3_2175;1394
BK5SB1_3_2916;1394
BK5SB1_3_3139;1394
BK5SB1_3_6270;1394
BK5SB1_3_7193;1394
BK5SB1_4_661;1394
BK5SB1_4_4553;1394
BK5SB1_4_4990;1394
BK5SB1_4_5656;1394
BK5SB1_4_6370;1394
BK5SB1_4_6411;1394
BK5SB1_4_8498;1394
BK5SB1_4_8655;1394
BK5SB1_5_666;1394
BK5SB1_5_1759;1394
BK5SB1_5_4285;1394
BK5SB1_5_4687;1394
BK5SB1_5_6516;1394
BK5SB1_5_7672;1394
BK5SC1_1_716;1394
BK5SC1_1_2541;1394
BK5SC1_1_3473;1394
BK5SC1_1_5502;1394
BK5SC1_1_6075;1394
BK5SC1_1_7263;1394
BK5SC1_1_7605;1394
BK5SC1_1_7923;1394
BK5SC1_1_9057;1394
BK5SC1_1_10792;1394
BK5SC1_2_736;1394
BK5SC1_2_1946;1394
BK5SC1_2_2713;1394
BK5SC1_2_3766;1394
BK5SC1_2_4068;1394
BK5SC1_2_4667;1394
BK5SC1_2_4774;1394
BK5SC1_2_5191;1394
BK5SC1_2_5938;1394
BK5SC1_2_6088;1394
BK5SC1_2_6552;1394
BK5SC1_2_7148;1394
BK5SC1_2_7438;1394
BK5SC1_2_8684;1394
BK5SC1_2_8940;1394
BK5SC1_2_10629;1394
BK5SC1_2_11583;1394
BK5SC1_2_12235;1394
BK5SC1_2_12279;1394
BK5SC1_2_12684;1394
BK5SC1_3_617;1394
BK5SC1_3_1559;1394
BK5SC1_3_2149;1394
BK5SC1_3_2890;1394
BK5SC1_3_3110;1394
BK5SC1_3_4836;1394
BK5SC1_3_5653;1394
BK5SC1_3_6255;1394
BK5SC1_3_6358;1394
BK5SC1_3_7032;1394
BK5SC1_3_7220;1394
BK5SC1_3_7491;1394
BK5SC1_3_7621;1394
BK5SC1_3_7763;1394
BK5SC1_4_3450;1394
BK5SC1_5_736;1394
BK5SC1_5_765;1394
BK5SC1_5_2771;1394
BK5SC1_5_5053;1394
BK5SC1_5_6114;1394
BK5SC1_5_7997;1394
BK5SC1_5_8281;1394
BK5SC1_5_12071;1394
BK5SC1_5_13935;1394
BK6BA1_2_489;1394
BK6BA1_3_638;1394
BK6BA1_3_2177;1394
BK6BA1_3_2961;1394
BK6BA1_3_3959;1394
BK6BA1_3_7852;1394
BK6BA1_5_614;1394
BK6BA1_5_2820;1394
BK6BA1_5_4712;1394
BK6BA1_5_5361;1394
BK6BA1_5_7220;1394
BK6BB1_1_2334;1394
BK6BB1_2_8362;1394
BK6BB1_4_2934;1394
BK6BB1_5_438;1394
BK6BC1_4_642;1394
BK6SA1_1_575;1394
BK6SA1_1_593;1394
BK6SA1_1_1389;1394
BK6SA1_1_1886;1394
BK6SA1_1_2558;1394
BK6SA1_1_2841;1394
BK6SA1_1_3449;1394
BK6SA1_1_4076;1394
BK6SA1_1_4372;1394
BK6SA1_1_4582;1394
BK6SA1_1_4919;1394
BK6SA1_1_5021;1394
BK6SA1_1_5189;1394
BK6SA1_1_5495;1394
BK6SA1_1_5866;1394
BK6SA1_1_6447;1394
BK6SA1_1_6526;1394
BK6SA1_1_6596;1394
BK6SA1_1_6916;1394
BK6SA1_1_7009;1394
BK6SA1_1_7073;1394
BK6SA1_1_7141;1394
BK6SA1_1_7772;1394
BK6SA1_1_7789;1394
BK6SA1_1_7935;1394
BK6SA1_1_8019;1394
BK6SA1_1_8129;1394
BK6SA1_2_463;1394
BK6SA1_2_998;1394
BK6SA1_2_1014;1394
BK6SA1_2_1274;1394
BK6SA1_2_1718;1394
BK6SA1_2_1991;1394
BK6SA1_2_2600;1394
BK6SA1_2_2637;1394
BK6SA1_2_3192;1394
BK6SA1_2_3272;1394
BK6SA1_2_3279;1394
BK6SA1_2_3298;1394
BK6SA1_2_3478;1394
BK6SA1_3_689;1394
BK6SA1_3_1844;1394
BK6SA1_3_1883;1394
BK6SA1_3_2572;1394
BK6SA1_3_3567;1394
BK6SA1_3_3955;1394
BK6SA1_3_4441;1394
BK6SA1_3_4733;1394
BK6SA1_3_4839;1394
BK6SA1_3_4847;1394
BK6SA1_3_5436;1394
BK6SA1_3_5747;1394
BK6SA1_3_5962;1394
BK6SA1_3_6212;1394
BK6SA1_3_6216;1394
BK6SA1_3_6525;1394
BK6SA1_3_6774;1394
BK6SA1_3_7018;1394
BK6SA1_3_7029;1394
BK6SA1_3_7176;1394
BK6SA1_3_7273;1394
BK6SA1_3_7416;1394
BK6SA1_3_7524;1394
BK6SA1_3_7896;1394
BK6SA1_3_8088;1394
BK6SA1_3_8191;1394
BK6SA1_3_8209;1394
BK6SA1_3_8277;1394
BK6SA1_3_8434;1394
BK6SA1_3_8445;1394
BK6SA1_3_8448;1394
BK6SA1_3_8798;1394
BK6SA1_3_9015;1394
BK6SA1_3_9539;1394
BK6SA1_3_9743;1394
BK6SA1_3_9872;1394
BK6SA1_3_9990;1394
BK6SA1_3_10029;1394
BK6SA1_3_10118;1394
BK6SA1_3_10125;1394
BK6SA1_3_10138;1394
BK6SA1_3_10184;1394
BK6SA1_3_10293;1394
BK6SA1_3_10324;1394
BK6SA1_3_10680;1394
