Sequence Name;OTU
BK1SA1_1_1862;29
BK1SA1_1_1920;29
BK1SA1_1_1963;29
BK1SA1_1_1982;29
BK1SA1_1_2099;29
BK1SA1_1_2165;29
BK1SA1_1_2309;29
BK1SA1_1_2371;29
BK1SA1_2_10;29
BK1SA1_2_194;29
BK1SA1_2_475;29
BK1SA1_2_731;29
BK1SA1_2_761;29
BK1SA1_2_768;29
BK1SA1_2_1212;29
BK1SA1_2_1217;29
BK1SA1_2_1433;29
BK1SA1_2_1547;29
BK1SA1_2_1687;29
BK1SA1_2_1844;29
BK1SA1_2_2900;29
BK1SA1_3_11;29
BK1SA1_3_99;29
BK1SA1_3_290;29
BK1SA1_3_387;29
BK1SA1_3_405;29
BK1SA1_3_746;29
BK1SA1_3_777;29
BK1SA1_3_1029;29
BK1SA1_3_1060;29
BK1SA1_3_1095;29
BK1SA1_3_1172;29
BK1SA1_3_1208;29
BK1SA1_3_1331;29
BK1SA1_3_1468;29
BK1SA1_3_1486;29
BK1SA1_3_1785;29
BK1SA1_3_1863;29
BK1SA1_4_11;29
BK1SA1_4_151;29
BK1SA1_4_190;29
BK1SA1_4_429;29
BK1SA1_4_542;29
BK1SA1_4_642;29
BK1SA1_4_673;29
BK1SA1_4_888;29
BK1SA1_4_969;29
BK1SA1_4_1023;29
BK1SA1_4_1062;29
BK1SA1_4_1155;29
BK1SA1_4_1326;29
BK1SA1_4_1716;29
BK1SA1_4_1849;29
BK1SA1_4_1859;29
BK1SA1_4_1919;29
BK1SA1_4_2000;29
BK1SA1_5_11;29
BK1SA1_5_115;29
BK1SA1_5_218;29
BK1SA1_5_232;29
BK1SA1_5_569;29
BK1SA1_5_605;29
BK1SA1_5_821;29
BK1SA1_5_962;29
BK1SA1_5_1010;29
BK1SA1_5_1064;29
BK1SA1_5_1094;29
BK1SA1_5_1108;29
BK1SA1_5_1329;29
BK1SA1_5_1395;29
BK1SA1_5_1494;29
BK1SA1_5_1665;29
BK1SA1_5_1697;29
BK1SA1_5_1753;29
BK1SA1_5_1778;29
BK1SA1_5_1833;29
BK1SA1_5_1859;29
BK1SA1_5_1932;29
BK1SA1_5_2065;29
BK1SA1_5_2128;29
BK1SA1_5_2139;29
BK1SA1_5_2247;29
BK1SA1_5_2259;29
BK1SA1_5_2272;29
BK1SA1_5_2490;29
BK1SA1_5_2534;29
BK1SA1_5_2708;29
BK1SA1_5_2886;29
BK1SA1_5_2909;29
BK1SA1_5_2959;29
BK1SA1_5_3115;29
BK1SA1_5_3516;29
BK1SA1_5_3602;29
BK1SA1_5_3788;29
BK1SA1_5_3832;29
BK1SA1_5_3974;29
BK1SA1_5_4705;29
BK1SA1_5_5076;29
BK1SA1_5_5088;29
BK1SA1_5_5145;29
BK1SA1_5_5174;29
BK1SA1_5_5452;29
BK1SB1_1_11;29
BK1SB1_1_102;29
BK1SB1_1_106;29
BK1SB1_1_199;29
BK1SB1_1_215;29
BK1SB1_1_543;29
BK1SB1_1_720;29
BK1SB1_1_773;29
BK1SB1_1_832;29
BK1SB1_1_866;29
BK1SB1_1_921;29
BK1SB1_1_945;29
BK1SB1_1_960;29
BK1SB1_1_1088;29
BK1SB1_1_1213;29
BK1SB1_1_1287;29
BK1SB1_1_1422;29
BK1SB1_1_1556;29
BK1SB1_1_1653;29
BK1SB1_1_1711;29
BK1SB1_1_1749;29
