domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramajendas;Ramajendas_frigidus;MZ047789
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;FJ435799
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;EU251380
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;FJ435800
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;EU251381
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;OP013278
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;KC146117
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_subanomalus;MF001999
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_varieornatus;MG432813
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Doryphoribiidae;Grevenius;Grevenius_pushkini;KU513419
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Doryphoribiidae;Thulinius;Thulinius_sp;HM600784
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Doryphoribiidae;Thulinius;Thulinius_augusti;KF360229
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Doryphoribiidae;Thulinius;Thulinius_ruffoi;KU513420
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Isohypsibiidae;Dastychius;Dastychius_improvisus;MK765502
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Isohypsibiidae;Isohypsibius;Isohypsibius_sp;FJ435797
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Adorybiotidae;Adorybiotus;Adorybiotus_sp;ON059358
